timestamp,stage,gain,samplingRate,clockRate,exposureTime,SR_mean,SR_std,WFE,Return
2026-03-16T13:47:12.305471,gain_scan,0.1,1000,1000,1,0.17650813221233955,0.06121234697357084,206.37523898877723,-58.38478733893356
2026-03-16T13:52:05.998204,gain_scan,0.2,1000,1000,1,0.38247630521679543,0.0845689143964718,137.88609986123572,44.652172033448906
2026-03-16T13:56:58.348453,gain_scan,0.30000000000000004,1000,1000,1,0.5157390483036159,0.07189045945843453,112.22105153833539,111.3467755551673
2026-03-16T14:01:54.325834,gain_scan,0.4,1000,1000,1,0.5862823544256416,0.06494375061852195,100.21254769564062,146.62022128044762
2026-03-16T14:06:50.617323,gain_scan,0.5,1000,1000,1,0.6198989423694224,0.06511338506113122,95.0507637951692,163.47438424158753
2026-03-16T14:11:46.992448,gain_scan,0.6,1000,1000,1,0.6314900480722317,0.0681419381436833,94.00971057801283,162.02388130636712
2026-03-16T14:16:44.631771,gain_scan,0.7000000000000001,1000,1000,1,0.6157508546605297,0.07846406657921709,97.60283509059917,144.35306659876056
2026-03-16T14:21:39.094192,gain_scan,0.8,1000,1000,1,0.47776145686314975,0.15794436303770532,130.1894964010506,64.67687188284516
2026-03-16T14:26:47.781343,gain_scan,0.9,1000,1000,1,0.11485176472041153,0.1174379641501494,1435.8448415691087,-147.53435963898633
2026-03-16T14:31:52.869356,gain_scan,1.0,1000,1000,1,0.03143584093346681,0.03911069895163464,2897.773245086656,-230.83120018914428
2026-03-16T14:37:53.903740,samplingRate_scan,0.5,200,1000,1,0.038979859672496946,0.012869709699043476,272.0680518506625,-42.545711556646005
2026-03-16T14:43:29.633402,samplingRate_scan,0.5,400,1000,1,0.22428094620958472,0.044514588229027395,168.22482777439512,54.284022574704274
2026-03-16T14:48:59.463021,samplingRate_scan,0.5,600,1000,1,0.4215150304257137,0.05398399898380383,130.39658082437566,137.4908567531663
2026-03-16T14:54:20.350015,samplingRate_scan,0.5,800,1000,1,0.5435805430841469,0.06054197055816387,108.85115654507646,163.16108087623954
2026-03-16T14:59:35.597016,samplingRate_scan,0.5,1000,1000,1,0.6201836468095602,0.06504381906469865,95.03508275645677,163.62492724466097
2026-03-16T15:04:55.152134,samplingRate_scan,0.5,1200,1000,1,0.6612625789108361,0.0663330910832919,89.33741546778678,139.53851975207908
2026-03-16T15:09:47.319814,samplingRate_scan,0.5,1400,1000,1,0.6777193769375404,0.061976358414193126,87.52022261579376,103.3333867169493
2026-03-16T15:14:52.756753,samplingRate_scan,0.5,1600,1000,1,0.6911681298100568,0.061727664147856666,85.9371334696589,65.11293622791311
2026-03-16T15:19:46.063907,samplingRate_scan,0.5,1800,1000,1,0.6992106863819084,0.06023916455038297,85.20439659716617,24.393018088825244
2026-03-16T15:24:43.930572,samplingRate_scan,0.5,2000,1000,1,0.6979982561116246,0.0541525841451288,85.66126791035106,-20.933106258218118
2026-03-16T15:29:47.408825,clockRate_scan,0.5,1000,200,1,0.6203514878167734,0.06472118212880502,95.00901788972124,113.68408475036995
2026-03-16T15:34:57.199368,clockRate_scan,0.5,1000,400,1,0.6202349202410723,0.06501557285668866,95.00533576673817,176.1463757928433
2026-03-16T15:40:40.189920,clockRate_scan,0.5,1000,600,1,0.6197771065309132,0.06514354708701131,95.02903450029032,180.09518342854835
2026-03-16T15:46:09.005583,clockRate_scan,0.5,1000,800,1,0.6200845131414549,0.06456964310270752,94.98779695531258,169.8246308794554
2026-03-16T15:51:36.656629,clockRate_scan,0.5,1000,1000,1,0.6201847579773557,0.06489890046909823,94.9681151734073,163.6146024573183
2026-03-16T15:57:01.651228,clockRate_scan,0.5,1000,1200,1,0.6204155160310317,0.06456907942153964,94.97265954191339,159.56659996633428
2026-03-16T16:02:21.691763,clockRate_scan,0.5,1000,1400,1,0.6203585033927835,0.0648159854928588,95.00284946797115,156.55267074786104
2026-03-16T16:07:41.906290,clockRate_scan,0.5,1000,1600,1,0.6198572502043053,0.06479135855289969,95.05830535289577,154.08433551415172
2026-03-16T16:13:11.577524,clockRate_scan,0.5,1000,1800,1,0.6200287944726661,0.06437222372519451,95.0288885672518,152.43897496370525
2026-03-16T16:18:28.950546,clockRate_scan,0.5,1000,2000,1,0.620158005490324,0.06460410927799633,95.0076782446682,151.10190949380794
2026-03-16T16:23:46.780780,exposureTime_scan,0.5,1000,600,0.1,0.6200887816869239,0.06498948026181367,94.98806277356096,246.90256080477045
2026-03-16T16:29:03.579138,exposureTime_scan,0.5,1000,600,0.2,0.6199503484256603,0.06483688077628888,95.02161841619724,256.8397169058745
2026-03-16T16:34:23.025014,exposureTime_scan,0.5,1000,600,0.30000000000000004,0.6196133629998033,0.06480236497949876,95.06585239490494,266.6694082656075
2026-03-16T16:39:44.667339,exposureTime_scan,0.5,1000,600,0.4,0.619827404033266,0.06502636091260536,95.05042159983175,276.7731780604806
2026-03-16T16:45:15.799734,exposureTime_scan,0.5,1000,600,0.5,0.6200713345720373,0.06460904655365157,95.05459965777942,286.8915965676297
2026-03-16T16:51:18.139026,exposureTime_scan,0.5,1000,600,0.6,0.6200991716840267,0.06493910392412036,95.01202289063504,276.9063682550874
